               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11627,            0.047695,            0.072873,           0.0024141,             0.15368,            0.011255,           0.0028523,            0.090791,             0.03012,            0.059549,              0.0937,              0.0007,              0.0007
                   1,             0.10678,            0.052168,             0.07348,           0.0040774,             0.18508,            0.014392,           0.0033264,            0.080331,            0.032249,            0.059182,             0.08649,           0.0014901,           0.0014901
                   2,            0.097185,             0.05961,            0.070936,           0.0071292,             0.46061,            0.019072,           0.0050773,            0.071532,            0.033212,            0.058855,             0.07927,           0.0022696,           0.0022696
                   3,            0.090441,             0.06176,            0.069964,           0.0080299,             0.55493,             0.02315,           0.0062384,            0.063638,            0.032812,            0.059222,            0.072039,           0.0030386,           0.0030386
                   4,            0.079632,            0.058559,            0.069175,             0.18134,             0.20479,            0.045228,             0.01265,            0.058316,            0.035579,            0.058666,            0.064797,            0.003797,            0.003797
                   5,             0.07392,            0.054332,             0.06593,            0.064463,             0.25307,            0.053189,            0.018813,            0.056583,            0.048529,            0.056752,            0.057545,           0.0045449,           0.0045449
                   6,             0.06999,            0.054086,            0.065915,            0.064092,             0.24793,            0.061326,            0.024228,            0.055708,            0.044607,            0.055725,            0.050282,           0.0052822,           0.0052822
                   7,            0.065988,            0.056175,            0.065153,             0.07665,             0.17083,            0.075437,            0.031195,            0.057169,            0.040399,            0.053707,            0.043009,           0.0060089,           0.0060089
                   8,            0.068379,            0.057798,            0.062719,             0.15084,             0.29134,              0.1008,            0.040304,            0.057522,            0.036094,            0.051228,            0.035725,           0.0067251,           0.0067251
                   9,            0.065788,            0.052156,            0.062623,            0.063677,             0.22355,            0.091603,            0.032416,            0.056856,            0.033108,            0.050409,            0.028431,           0.0074307,           0.0074307
                  10,            0.066713,             0.04725,            0.061921,            0.066357,             0.21745,            0.082572,            0.033682,            0.050961,            0.027587,            0.050008,            0.021126,           0.0081258,           0.0081258
